,course,channel_name,playlist_id
0,Curso de HTML5 Completo e GRÁTIS,Curso em Vídeo,PLHz_AreHm4dlAnJ_jJtV29RFxnPHDuk9o
1,"Web Development Tutorials For Beginners In Hindi: HTML, CSS, JavaScript &amp; More",CodeWithHarry,PLu0W_9lII9agiCUZYRsvtGTXdxkzPyItg
2,JavaScript Tutorials Playlist,thenewboston,PL46F0A159EC02DF82
3,JavaScript Tutorial for Beginners,Telusko,PLsyeobzWxl7qtP8Lo9TReqUMkiOp446cV
4,Learn JavaScript In Arabic,Elzero Web School,PLDoPjvoNmBAw6p0z0Ek0OjPzeXoqlFlCh
5,JavaScript Tutorial,kudvenkat,PL6n9fhu94yhUA99nOsJkKXBqokT3MBK0b
6,🏆 JavaScript Tutorial for beginners in Hindi / Urdu,Yahoo Baba,PL0b6OzIxLPbx-BZTaWu_AF7hsKo_Fvsnf
7,Изучение JavaScript от нуля до гуру,Гоша Дударь,PL0lO_mIqDDFUGX9k45bZFuz1ixTvUhd7b
8,Основы JavaScript,Sorax,PL363QX7S8MfSxcHzvkNEqMYbOyhLeWwem
9,Curso de JavaScript desde 0,pildorasinformaticas,PLU8oAlHdN5BmpobVmj1IlneKlVLJ84TID
10,Curso Básico de Javascript desde 0,FalconMasters,PLhSj3UTs2_yVC0iaCGf16glrrfXuiSd0G
11,JavaScript Tutorial for Beginners,EJ Media,PLr6-GrHUlVf96NLj3PQq-tmEB6woZjwEl
12,Curso Grátis de JavaScript e ECMAScript para Iniciantes,Curso em Vídeo,PLHz_AreHm4dlsK3Nr9GVvXCbpQyHQl1o1
13,Code! Programming with p5.js,The Coding Train,PLRqwX-V7Uu6Zy51Q-x9tMWIv9cueOFTFA
14,Core JavaScript (Hindi),Geeky Shows,PLbGui_ZYuhiiaQjuOfvgx_-gzVBlCxrk0
15,Dasar Pemrograman dengan Javascript,Web Programming UNPAS,PLFIM0718LjIWXagluzROrA-iBY9eeUt4w
16,Introduction to JavaScript for Developers,Java Brains,PLqq-6Pq4lTTYFJxC9NLJ7dSTI5Z1WWB6K
17,JavaScript Tutorials for Beginners,The Net Ninja,PL4cUxeGkcC9i9Ae2D9Ee1RvylH38dKuET
18,Javascript beginner tutorials,Quentin Watt Tutorials,PL41lfR-6DnOrwYi5d824q9-Y6z3JdSgQa
19,Cours complet JavaScript - Tutoriel / Formation pour tous,Pierre Giraud,PLwLsbqvBlImFB8AuT6ENIg-s87ys4yGWI
20,JavaScript 입문 수업 (생활코딩),생활코딩,PLuHgQVnccGMA4uSig3hCjl7wTDeyIeZVU
21,JavaScript,Hitesh Choudhary,PLRAV69dS1uWTSu9cVg8jjXW8jndOYYJPP
22,JavaScript in Hindi,vishAcademy,PLHpTOkCsd2tOCiTNBm8uDvZNPf6gfYNok
23,JavaScript Tutorials In Hindi,CodeWithHarry,PLu0W_9lII9ajyk081To1Cbt2eI5913SsL
24,WEB2-JavaScript,생활코딩,PLuHgQVnccGMBB348PWRN0fREzYcYgFybf
25,Vanilla JavaScript,Traversy Media,PLillGF-RfqbbnEGy3ROiLWk7JMCuSyQtX
26,JavaScript Tutorials,Dani Krossing,PL0eyrZgxdwhxNGMWROnaY35NLyEjTqcgB
27,Advance JavaScript (Hindi),Geeky Shows,PLbGui_ZYuhihZ-pDxNZuQ7xOQ8IS2z3XI
28,Javascript Fundamentals,LearnCode.academy,PLoYCgNOIyGACTDHuZtn0qoBdpzV9c327V
29,Programmieren lernen mit JavaScript,Thytos,PLWjV3rrL77CAZGdXwnqJDUDXCCqh-Au-0
30,Learn Javascript HTML DOM,Elzero Web School,PLDoPjvoNmBAxx97QDMOCpzxbu1ZHJ4i7i
31,Bangla JavaScript Tutorial (JS Fundamentals),Training with Live Project,PLTydW-y9HsbSkJnc46Nk0el6118z9XaVO
32,Javascript Dersleri (Türkçe) - Yakın Kampüs,Yakın Kampüs,PLWctyKyPphPj2KD1CTuBa_xjK8zjRS9jX
33,JavaScript Objects and Prototypes In-depth,Java Brains,PLqq-6Pq4lTTaflXUL0v3TSm86nodn0c_u
34,JavaScript Scopes and Closures In-depth,Java Brains,PLqq-6Pq4lTTZ_LyvzfrndUOkIvOF4y-_c
35,JavaScript A-Z 2020,CodersX,PLkY6Xj8Sg8-uPZnTdScfuH0xD-O6Kb-V-
36,JavaScript Tutorials,Programming with Mosh,PLTjRvDozrdlxEIuOBZkMAK5uiqp8rHUax
