,course,channel_name,playlist_id
0,Python Tutorial for Beginners,Telusko,PLsyeobzWxl7poL9JTVyndKe62ieoN-MZ3
1,Python Tutorials For Absolute Beginners In Hindi,CodeWithHarry,PLu0W_9lII9agICnT8t4iYVSZ3eykIAOME
2,Complete Python tutorial in Hindi (2020),Harshit vashisth,PLwgFb6VsUj_lQTpQKDtLXKXElQychT_2j
3,PYTHON PROGRAMMING FOR BEGINNERS,Sundeep Saradhi Kanthety,PLLOxZwkBK52DmuHRO3UNpqAzDF57FtIxk
4,Python Tutorials for Absolute Beginners by CS Dojo,CS Dojo,PLBZBJbE_rGRWeh5mIBhD-hhDwSEDxogDg
5,Python for Class 12,Apni Kaksha,PLKKfKV1b9e8r_GAb4BQNc2ZSh6S7NwK9W
6,Yeni Başlayanlar İçin Python Dersleri 2019,Arin Yazilim,PL-Hkw4CrSVq9Y_RP7Q9Kn-bgZvVdl1cBy
7,6.0001 Introduction to Computer Science and Programming in Python. Fall 2016,MIT OpenCourseWare,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA
8,Python Language (M3-R5) O Level,GyanXp,PLkyLWmxHhCmBuUYJN22dxP3WrDyw1RJA_
9,Class 11 Computer Science with Python,Edutainment 1.0,PLDA2q3s0-n16O9RdZ8vbm0cj_tSsTRe3r
10,30 Days of Python ~ Python 3.8+,CodingEntrepreneurs,PLEsfXFp6DpzQjDBvhNy5YbaBx9j-ZsUe6
11,Python Network Programming - TCP/IP Socket Programming,buildwithpython,PLhTjy8cBISErYuLZUvVOYsR1giva2payF
12,دورة تعلم بايثون من الصفر كاملة للمبتدئين - Master Python from Beginner to Advanced in Arabic,Codezilla,PLuXY3ddo_8nzrO74UeZQVZOb5-wIS6krJ
13,Minecraft || Python Plays Minecraft (Survival Let&#39;s Play),PythonMC,PLbFBnggbJ1rkHxg5rlEmH0JYPTUKjAgu-
14,دورة البايثون من الصفر || Python tutorial,Ahmed Azz,PLb6ZzJ93PVwpRVdX9yg8tQ1SMC4DSECjz
15,Python Programming Tutorials (Computer Science),Socratica,PLi01XoE8jYohWFPpC17Z-wWhPOSuh8Er-
16,Python Problem Solving,T3SO Tutorials,PLH1n1sJO7tbxmE36txTPhgidmW5Z9Bn7m
17,Python Tutorial for Beginners,Intellipaat,PLVHgQku8Z9362QT__l8haMT9g4XrQ8nnq
18,PYTHON Programmation - Cours complet et exercices corrigés en vidéo,jaicompris Maths,PL_ZtK1TB2InpOSbk7_EoteopTz5hqptRR
19,Automate the Boring Stuff with Python,Al Sweigart,PL0-84-yl1fUnRuXGFe_F7qSH1LEnn9LkW
20,Python 3 Dersleri,Yazılım Bilimi,PLIHume2cwmHehcxQE1XZieL21syR3m3tR
21,Python Programming for Beginners!,TheCodex,PLB5jA40tNf3scN7gwpDOx0gBm-otmXVoz
22,Python Dersleri (Türkçe),Yakın Kampüs,PLWctyKyPphPiul3WbHkniANLqSheBVP3O
23,Python Tutorials For Beginners,Mukesh otwani,PL6flErFppaj0v1XGN-og_hL4Rw2v2lidK
24,Python 3 - Uvod u programski jezik Python,Milenko Letic,PLMCUsEa_8vG3MAqgCFXhi-lr00jxcsk5Y
25,Python - Programming Language | Tutorial,Mike Dane,PLLAZ4kZ9dFpMMs5lskzBApYXn0bl7emsW
26,Data Analytics with Python,IIT Roorkee July 2018,PLLy_2iUCG87CNafffzNZPVa9rW-QmOmEv
27,Beginner Python Tutorials,Caleb Curry,PL_c9BZzLwBRKK8ndQBBKolg7IxrC5T6Ws
