,course,channel_name,playlist_id
0,SQL Server tutorial for beginners,kudvenkat,PL08903FB7ACA1C2FB
1,SQL tutorials for beginners/ Oracle Database tutorials.,Manish Sharma,PLL_LQvNX4xKwbz1aJe0RofbT9YeJH9huQ
2,Structured Query Language - SQL (Hindi),Geeky Shows,PLbGui_ZYuhigbr-fJ_9HlOqwg0S24Z73-
3,Cursos de SQL Server,deividcoptero Programación,PL6hPvfzEEMDaU4aiS389oXamdN8sip856
4,PL/SQL Tutorial for beginners By Manish Sharma RebellionRider,Manish Sharma,PLL_LQvNX4xKyiExzq9GKwORoH6nvaRnOQ
5,SQL Tutorials,The Bad Tutorials,PL_RGaFnxSHWr_6xTfF2FrIw-NAOo3iWMy
6,Oracle PL/SQL Programming in Hindi Course,ITORIAN,PLB5DA82419C2D99B6
7,SQL Server Interview Questions and Answers,kudvenkat,PL6n9fhu94yhXcztdLO7i6mdyaegC8CJwR
8,SQL Server Reporting Services (SSRS) Tutorial,WiseOwlTutorials,PL7A29088C98E92D5F
9,Curso SQL,pildorasinformaticas,PLU8oAlHdN5Bmx-LChV4K3MbHrpZKefNwn
10,SQL Server Integration Services (SSIS) Tutorial,WiseOwlTutorials,PLNIs-AWhQzcmPg_uV2BZi_KRG4LKs6cRs
11,Sistema de Ventas C# - Visual Studio 2013 y Sql Server 2014,Juan Carlos Arcila Díaz,PLZPrWDz1Molqn16IORKg8nFYTejgYCHJp
12,SQL Server Training Videos | Mr. Sudhakar L,Naresh i Technologies,PLVlQHNRLflP8WFEvFvANnUsD2y8HJIJh1
13,SQL Server DBA Interview Questions and Answers,TechBrothersIT,PLWf6TEjiiuICSv38AYhS3doRmQoY_-e_Q
14,60 Derste SQL,Murat Yücedağ,PLKnjBHu2xXNP6Qa6u8GLawPnzo1brHZPP
15,مشروع إدارة المبيعات بلغة سي شارب و SQL Server,خالد السعداني - Khalid ESSAADANI,PLwj1YcMhLRN2Y5O_olVfMT7dFe-INcWQT
16,SQL Server Integration Services (SSIS) Tutorial,TechBrothersIT,PLWf6TEjiiuIDUhRIhBSuJgHOggAR_SZsQ
17,Oracle SQL Online trainning,Tutorials Point (India) Ltd.,PLWPirh4EWFpGKVoAXc4EjgaV4jbAyLrxe
18,Database 1- المقرر العملى - Learn SQL In Arabic,محمد الدسوقى,PL85D9FC9DFD6B9484
19,Curso de SQL com SQL Server (T-SQL),Bóson Treinamentos,PLucm8g_ezqNqI5cW3alteV5olcMCcHYRK
20,Изучение программирования. SQL,CMTV [Грани Hi-Tech],PLDywto_IU4_4RU0sKfID6OY-np6uGmhlf
21,[SQL Server] Khóa học sử dụng SQL server,K team,PL33lvabfss1xnFpWQF6YH11kMTS1HmLsw
22,SQL Tutorial for Beginners in Hindi and English,Easy Engineering Classes,PLV8vIYTIdSnb7av5opUF2p3Xv9CLwOfbq
23,Oracle Database 12c  Introduction to SQL/تعلم اوراكل,khaled alkhudari,PLTChhmU8tbQzrdP79gFX6h4TXu-gOUDvp
24,sql server 2008 م/ أحمد النجار,مركز صناع الإبداع,PLgb1QHu0tFi1R3gnLWZNAgc5zbGnV3Bv4
25,SQL Server Queries,WiseOwlTutorials,PL6EDEB03D20332309
26,SQL Server - Procedures and Programming,WiseOwlTutorials,PLNIs-AWhQzcleQWADpUgriRxebMkMmi4H
27,Curso de SQL Server | APRENDE a GESTIONAR una BASE de DATOS,Tecnología Binaria;,PL8gxzfBmzgewF28S8REkfHacaSRnwpJeB
28,SQL de A à Z - Cours Complet,Zack ISMAILI,PLFtlZvb4qwees1u9G58Iu0Vq_Dzj4zX5N
29,Oracle SQL Tutorials,Caleb Curry,PL_c9BZzLwBRJ8f9-pSPbxSSG6lNgxQ4m9
30,Sql Tutorial for Beginners,Telusko,PLsyeobzWxl7r4_oAwBFzPdMlgc0If72WK
31,LINQ to SQL Tutorial,kudvenkat,PL6n9fhu94yhXCHPed2Q9oBkgvzw9Re8hC
32,Học SQL Cơ Bản,thân triệu,PLE1qPKuGSJaDkQQB5vK7t7-PRIVjtqeHB
33,SQL - Database Programming | Tutorial,Mike Dane,PLLAZ4kZ9dFpMGXTKXsBM_ZNpJwowfsP49
34,SQL desde cero,Danisable,PLAzlSdU-KYwWCVG83AWU-9n9_F6wA8kF7
35,SQL Step by Step Videos,G C Reddy,PLyGqUe6Oa_5Hcb_5QqXIsMZhvsm7Bo_-Z
36,SQL Server Tutorial-Hindi,lakshmi sowbhagya,PLMRFTMKnLG05_ubTi5-6VhN_0CA7uCorZ
37,Sql Server tutorials by narayana,Durga Software Solutions,PLd3UqWTnYXOkDmQvCVKsXeoGeocusMP4i
38,Basic SQL Training,Joey Blue,PLD20298E653A970F8
39,SQL Server para Iniciantes,Zurubabel,PL4OAe-tL47sY7ZzeE8__q_N7BWFOehxug
40,Curso de SQL Server,Excel y Más,PLFNWPvtjBMju_UZdG3PLige5PBNAEQDmR
41,SQL Server Analysis Services (SSAS),Keshav Singh,PLRSlaaxiXtw3P0uFOXJPmI9fHJmDByNF8
42,SQL Для Начинающих,ROBOTOBOR.PRO ✌ Доступное Программирование,PL47zejIkBQvTJqvh9ZtNn01zwJ2lGXk-E
43,The Firebase Database For SQL Developers,Firebase,PLl-K7zZEsYLlP-k-RKFa7RyNPa9_wCH2s
44,BILLING SYSTEM in C# and MS SQL SERVER,Vijay Thapa,PLBLPjjQlnVXVnz3Hksi1th0uHXxh6Dm3h
45,Introduction to SQL (Computer Science),Socratica,PLi01XoE8jYojRqM4qGBF1U90Ee1Ecb5tt
46,SQL Server ve T-SQL Eğitimleri,Gençay Yıldız,PLQVXoXFVVtp2RjHt5teaBOLUcKbq2Ilbo
47,دورة برمجة قواعد البيانات من الصفر بلغة الفيجوال بسيك و SQL Server,خالد السعداني - Khalid ESSAADANI,PLwj1YcMhLRN1j8AqbgSRjbZmDTIQGOK4b
48,"SQL - Alles zum Thema, besser sortiert www.thesimpleclub.de",Informatik - simpleclub,PLgZuSc7xewdc3oOyvYkjExbhoO8jUxvV3
49,สอน Microsoft SQL Server,prasertcbs,PLoTScYm9O0GH8gYuxpp-jqu5Blc7KbQVn
50,Oracle PL/SQL Online Training,Tutorials Point (India) Ltd.,PLWPirh4EWFpHj0kKqqYudPNOrGEa0fFIr
51,T-SQL Online Training,Tutorials Point (India) Ltd.,PLWPirh4EWFpFNzoF4EuFPWRjnTNSLyqI3
52,Structured Query Language (SQL),Gate Smashers,PLxCzCOWd7aiHqU4HKL7-SITyuSIcD93id
53,Oracle SQL tutorials Arabic Course,Ask Gad,PL1KA7P5hJ-obwTDetMyuMNUzkwTm-M6tG
54,Top 50 SQL Interview Questions,GeeksforGeeks,PLqM7alHXFySGweLxxAdBDK1CcDEgF-Kwx
55,كيف تصمم برنامج محاسبة VB.NET+SQL,استشارات برامج محاسبة,PLp-_ejiuz7Q1ahi6_I--IGyvxJVcnq64v
56,"Kurs MySQL. Bazy danych, język zapytań SQL",Pasja informatyki,PLOYHgt8dIdoymv-Wzvs8M-OsKFD31VTVZ
57,SQL Server Complete Series,Caleb Curry,PL_c9BZzLwBRKC2PJwLFxc2y6cyXYYQzj3
58,SQL Server Tutorial in Hindi,Vijay Mulsaniya,PLNpcyTKiEfgVSySs4uoRxxughac2D78D9
59,SQL Server tutorial for beginners in arabic,Kudvenkat.Arabic,PL4cyC4G0M1RQ_Rm52cQ4CcOJ_T_HXeMB4
60,Oracle SQL: Oracle Database 12c SQL Certified Associate - Helpful for Oracle Exam 1Z0-071,Sam D,PLgmhWhDgxKIFWVluah_BaF-bCl7PYom_4
61,Cours SQL,John Taieb,PL5BcU-_5Oa_pCuJ9F59OCWQJfH5ehuuQp
62,Curso SQL Server,ByEdark,PLD3-wsv2mjgMsCBfhqRonjr462MFgOB5k
63,Oracle PL/SQL,Oresoft LWC,PL3245012E0631F7AE
64,SQL Server / T-SQL Tutorial,TechBrothersIT,PLWf6TEjiiuIDvJ4P5l7Bzrmpzv8hW9CAO
65,SQL,fcamuso,PLE555DB6188C967AC
66,SQL Server Tutorial - Telugu,lakshmi sowbhagya,PLMRFTMKnLG04j6ttReOJLUesyt90Yr-WP
67,SQL,radhikaravikumar,PL28YtFoet8RWb_pk2aDDzK-dpqCFjo98o
68,SQL Query Full Course in Arabic,Ahmed Samir El Khadrawy,PL1565idytjOR18Ja9EfWsmPDGrJ9L40cf
69,SQL Server Bangla Tutorial,MD. Mehedi Hasan,PLq-GCshN1eDB5L5Frxfq9JHIBtkHrOm86
70,Изучение SQL для начинающих,Гоша Дударь,PL0lO_mIqDDFVnLvR39VpEtphQ8bPJ-xR9
71,SQL Server DBA Tutorial (Beginner to Advanced Level),Babu Ram Dahal,PL_vrXbv8x_qiAvfcsuFYocJrvu-Y-ewji
72,دورة  مبسطة عن SQL Server,TheNewBaghdad,PLF8OvnCBlEY02W4yz1csvydEZBd50KJZd
73,Oracle PL/SQL Tutorial Videos,Naresh i Technologies,PLVlQHNRLflP-B-e7daJkgKPS_vmya5mY6
74,SQL SERVER BEGINNER TUTORIALS,Learning Never Ends,PLX07l0qxoHFIv2adKGrkZnSTszKPYdD-a
75,SQL ServerDBA by Mr.Suresh,Durga Software Solutions,PLd3UqWTnYXOm3htRGnLv8vW7beWW-xJPc
76,SQL Server 2012 Clustering,metamanager,PLbkU_gVPZ7OQ4w1kHe9Imy3yc-5_fuXvY
77,HANA SQL,SAP HANA Academy,PLkzo92owKnVwHsbKSfJqefrMwNEJWoMzV
78,Database 2 - Advanced Topics in SQL / PL SQL- المقرر العملى,محمد الدسوقى,PLAED6B1A8BFAD8B1E
79,SGBD1 SQL Server Darija دارجة,imade el khadim,PLnZB721E4l38q3azp20u68D7xgI8R6vZv
80,Let&#39;s Learn SQL!,Coffing Data Warehousing,PLMrTtbMO6mv_Hn7DvpO62RxyxodHhkQda
81,Datenbanken und SQL,Programmieren Starten,PL_pqkvxZ6ho1dn7jRkTfoYBXhw5c9jll0
82,SQL Server Tutorials In Urdu and Hindi,ProgramInUrdu,PLUyYwyJA_WfRqwCbxnIUe37-yO12pBAXC
83,[Arabic - عربي] SQL Server 2012 - تعليم بللغة العربيه,Ayman El-Ghazali,PLq7cQMGDozxXdbbuyPdJFFMIqYeux4lSH
84,SQL Server Videos,Bhaskar Jogi,PLskvRY5fTxgcrT3RPfGkjWARO8W-liFlc
85,Complete Oracle SQL Certification Course,Imtiaz Ahmad,PL8rcHwQO3nbIEWTA6puHQXYls-m4OxyC4
86,SQL SERVER REPORTING SERVICES ( SSRS ),Bhaskar Reddy Baddam,PLCKYja4IMuy0xfOxemNQAP2kW3ywF9bPV
87,Oracle PL/SQL tutorials Arabic Course,Ask Gad,PL1KA7P5hJ-oY7CvoZ3yUFThVi9fvB353v
88,SQL in Sixty Seconds,Pinal Dave,PL4BD5C24EDB584162
89,SQL - cours ✔,FormationVidéo,PLrSOXFDHBtfGl66sXijiN8SU9YJaM_EQg
90,Oracle SQL beginner tutorials  With exercise/ Database Basic to Advance Training,EqualConnect Coach,PLiLpmqwkwkCt0QeXD8j7BwIoOaBGBRrZC
91,SQL Server 2016 - Getting Started,WiseOwlTutorials,PLNIs-AWhQzcl9QXUSb0GRTxa2XlTHqDE8
92,Sql Server 2019 Query Course-كورس قواعد بيانات من البدايه -سيكوال كويرى-كورس تعلم سيكوال سيرفر من البدايه,أكاديمية علوم المستقبل,PLfM2wZNebA2zROxUcAbGxNrpVZncsF3oD
